miRNA_ID,mesh_similarity,doid_similarity,num_sources_mesh,num_sources_doid,mesh_disease_count,doid_disease_count,mesh_max_jaccard,doid_max_jaccard,mesh_jaccard_std,doid_jaccard_std,inter_ontology_agreement
hsa-mir-200b,0.05644615631758029,0.056357419353621985,4,4,133,118,0.45454545454545453,0.4838709677419355,0.10995566049556026,0.11784451397421263,0.9999112630360417
hsa-mir-21,0.03840873444757102,0.04063436193510051,4,4,514,374,0.4603174603174603,0.43548387096774194,0.10532924336827311,0.10034937475556188,0.9977743725124705
hsa-mir-155,0.030974493877343644,0.03254541329619618,4,4,452,318,0.21739130434782608,0.21052631578947367,0.05979536396253987,0.06477236320795539,0.9984290805811474
hsa-mir-378a,0.016790614765990964,0.015669515669515667,3,3,89,79,0.18181818181818182,0.2222222222222222,0.04585916471467897,0.055295615123688115,0.9988789009035247
hsa-mir-212,0.021499964750168056,0.03821322831126753,4,4,103,83,0.11827956989247312,0.2,0.03958440894889557,0.06705051837898492,0.9832867364389005
hsa-mir-150,0.016524041876432125,0.026042702656111177,4,4,200,159,0.12903225806451613,0.16666666666666666,0.03632956158273667,0.04639857276199122,0.990481339220321
hsa-mir-146a,0.02705336164079438,0.031140228277206115,4,4,368,267,0.3103448275862069,0.34615384615384615,0.07101852124674378,0.08070702976010792,0.9959131333635882
hsa-mir-195,0.04479084836227693,0.0456486855402187,4,4,153,129,0.2727272727272727,0.2903225806451613,0.07762189941207533,0.08452677913223954,0.9991421628220583
hsa-mir-126,0.050448233570135115,0.05168438528935766,4,4,245,189,0.3225806451612903,0.3333333333333333,0.0932936571566999,0.09915732826846552,0.9987638482807775
hsa-mir-19a,0.029207894090622404,0.028211740795500272,4,4,138,122,0.2222222222222222,0.2222222222222222,0.05680030674867467,0.05426048597689639,0.9990038467048779
hsa-mir-17,0.035248042471127124,0.03412060114045611,4,4,244,200,0.2702702702702703,0.2564102564102564,0.06958903213452405,0.06715970914792437,0.998872558669329
hsa-mir-182,0.029551367696302032,0.034932612181424384,4,4,173,146,0.18181818181818182,0.1935483870967742,0.053099132715164137,0.06393821670494446,0.9946187555148777
hsa-mir-370,0.022891751374466262,0.011282270717444016,4,4,89,88,0.14285714285714285,0.06097560975609756,0.03897830940773536,0.020497351687202525,0.9883905193429777
hsa-mir-20a,0.029733971964038826,0.028811098027300794,4,4,221,170,0.23333333333333334,0.22580645161290322,0.0588608696982066,0.05732124580038264,0.9990771260632619
hsa-mir-27b,0.024948634954046155,0.028242851894481447,4,4,159,132,0.24,0.24,0.055980266623096485,0.059031268515587466,0.9967057830595647
hsa-mir-191,0.02880540635328597,0.02118583495776478,4,4,91,82,0.2857142857142857,0.2222222222222222,0.06810435817034476,0.05311800991981388,0.9923804286044788
hsa-mir-125a,0.019727546620954755,0.019754118217054265,4,4,160,136,0.17391304347826086,0.13333333333333333,0.04368279111920129,0.04022210049957487,0.9999734284039005
hsa-mir-425,0.021735869080030626,0.02378012933568489,4,4,75,60,0.16666666666666666,0.16666666666666666,0.045646070027323266,0.049377057726418226,0.9979557397443457
hsa-mir-122,0.016708061099904595,0.01645973625140292,4,4,224,169,0.1111111111111111,0.125,0.030658924811799777,0.035345566667187064,0.9997516751514983
hsa-mir-206,0.012492318864867884,0.012608151183970856,4,4,158,130,0.12179487179487179,0.125,0.032167619854311325,0.034656945886516195,0.999884167680897
hsa-mir-200c,0.0534072647689422,0.0511102171801234,4,4,172,133,0.3888888888888889,0.38235294117647056,0.09867472676044342,0.10027614244922989,0.9977029524111812
hsa-mir-199b,0.010227783911994439,0.008549427511691663,4,4,66,60,0.07692307692307693,0.07692307692307693,0.02330893168087765,0.019429799219162516,0.9983216435996972
hsa-mir-96,0.03814721613274981,0.05542406253788367,4,4,109,87,0.34782608695652173,0.42857142857142855,0.08404516195442362,0.11039434742665344,0.9827231535948662
hsa-mir-93,0.01864883942348731,0.01307703081232493,3,3,145,122,0.1267605633802817,0.12,0.04262940033960061,0.03309989245251158,0.9944281913888376
hsa-mir-139,0.023975548775319943,0.023464106571604314,4,4,99,90,0.125,0.15384615384615385,0.03814349164476046,0.044085361119916344,0.9994885577962844
hsa-mir-18a,0.03971791907727812,0.03247183144004776,4,4,117,109,0.26666666666666666,0.23333333333333334,0.0724696965933043,0.061645588098366566,0.9927539123627697
hsa-mir-149,0.03488840727561458,0.04015325009648405,4,4,108,98,0.26666666666666666,0.3125,0.07104878941512091,0.0826695428181567,0.9947351571791305
hsa-mir-23b,0.032867785101479995,0.03189270185555634,4,4,142,126,0.2857142857142857,0.3157894736842105,0.06878530989433379,0.0741945588406001,0.9990249167540763
hsa-mir-361,0.006183707181359763,0.0039217812477409094,4,4,74,59,0.09722222222222222,0.05172413793103448,0.022313729718822648,0.012370525889122266,0.9977380740663812
hsa-mir-27a,0.0398137552759982,0.03618333213315292,4,4,196,161,0.40625,0.3870967741935484,0.09494018175295044,0.08962428082971795,0.9963695768571548
hsa-mir-142,0.011437054376996774,0.010185293130241385,4,4,212,176,0.07692307692307693,0.07692307692307693,0.023503764895425633,0.023897352475195723,0.9987482387532446
hsa-mir-144,0.010240425485565413,0.00779923711909006,4,4,158,131,0.10967741935483871,0.078125,0.02648012148384521,0.02021714270051061,0.9975588116335247
hsa-mir-221,0.029710933760967406,0.028137786279823582,4,4,209,169,0.30952380952380953,0.2926829268292683,0.07627352782486739,0.0696622305314078,0.9984268525188562
hsa-mir-449a,0.02312916898963659,0.028506761783304108,4,4,63,50,0.1724137931034483,0.23529411764705882,0.051255687740541914,0.06272400217921151,0.9946224072063324
hsa-mir-34a,0.04904171303744342,0.05628816045274866,4,4,311,238,0.24074074074074073,0.32142857142857145,0.08112092372509182,0.10150651180389979,0.9927535525846948
hsa-mir-132,0.051242917728985836,0.057635578117029004,4,4,160,135,0.4117647058823529,0.4117647058823529,0.10659187293575909,0.11939542483832741,0.9936073396119568
hsa-mir-181c,0.024666607700376764,0.031233145939028293,4,4,86,73,0.17647058823529413,0.25,0.04921800426463579,0.06393348982678644,0.9934334617613485
hsa-mir-338,0.01904365786718728,0.0158195719612697,4,4,102,98,0.14285714285714285,0.14285714285714285,0.03883558773069542,0.03857267473048051,0.9967759140940824
hsa-mir-22,0.0416570958789521,0.04417899097537655,4,4,202,171,0.25806451612903225,0.27586206896551724,0.07471144934624169,0.08245108452797889,0.9974781049035756
hsa-mir-29a,0.048404634021418536,0.04825796557611458,4,4,228,181,0.45454545454545453,0.4166666666666667,0.10926498109636767,0.10656309774067371,0.999853331554696
hsa-mir-223,0.016167585440461256,0.014439836489052517,4,4,280,221,0.16666666666666666,0.16216216216216217,0.04180180944184233,0.03769347288647185,0.9982722510485913
hsa-mir-203a,0.02718274947656391,0.029935527223856742,4,4,104,85,0.16666666666666666,0.2608695652173913,0.04899019679147428,0.06789925962465852,0.9972472222527071
hsa-mir-130b,0.025079444015931655,0.024474585398498443,4,4,98,86,0.13333333333333333,0.16666666666666666,0.04305146766978035,0.044159926858249564,0.9993951413825668
hsa-mir-204,0.026127570137788863,0.027417555170352933,4,4,175,149,0.1875,0.23333333333333334,0.05389863032566144,0.05788187466206193,0.9987100149674359
hsa-mir-143,0.03572378148021023,0.03234112237607655,4,4,185,148,0.22580645161290322,0.22580645161290322,0.0627330457488323,0.060340199595360036,0.9966173408958663
hsa-mir-15b,0.029244867866397083,0.039771507169175914,4,4,135,105,0.22727272727272727,0.2857142857142857,0.05687747316676595,0.07876375953400772,0.9894733606972211
hsa-mir-192,0.0257269224906972,0.019511230968021924,4,4,135,111,0.15384615384615385,0.11764705882352941,0.04652506381259362,0.035220115809557515,0.9937843084773247
hsa-mir-185,0.028740361470969436,0.02678942789236907,4,4,110,86,0.16666666666666666,0.23529411764705882,0.0495239971101592,0.059975528842812854,0.9980490664213997
hsa-mir-222,0.02567540428248232,0.02247470105893045,4,4,164,129,0.26666666666666666,0.26666666666666666,0.06429917313568559,0.061645901304146905,0.9967992967764481
hsa-mir-25,0.029441786893351723,0.030737862045051585,4,4,127,114,0.3076923076923077,0.36,0.07594345698655995,0.08436867062317052,0.9987039248483002
hsa-mir-375,0.045167627261008716,0.04848580504230824,4,4,166,150,0.23529411764705882,0.2727272727272727,0.07372467745039059,0.0872734849975355,0.9966818222187005
hsa-mir-423,0.020244775800331356,0.026649902385196503,4,4,110,89,0.16666666666666666,0.2857142857142857,0.048576328009003356,0.06955952312514954,0.9935948734151349
hsa-mir-532,0.015498737373737375,0.008576998050682261,3,3,66,63,0.125,0.1111111111111111,0.034537127176884334,0.027748864950135274,0.9930782606769449
hsa-mir-20b,0.017641881132992174,0.015119256180770726,4,4,104,84,0.10526315789473684,0.1111111111111111,0.03285785332453198,0.03165030680593854,0.9974773750477786
hsa-mir-26b,0.03449211473266456,0.02942325473737821,4,4,102,96,0.22727272727272727,0.22727272727272727,0.06363870457625356,0.0594482592460486,0.9949311400047136
hsa-mir-106b,0.01557454890788224,0.012268736632715634,3,4,111,106,0.09259259259259259,0.13043478260869565,0.03184099706255646,0.03228456448297705,0.9966941877248334
hsa-mir-217,0.03541490857946554,0.033001745618020516,3,3,79,71,0.3,0.3157894736842105,0.08274869664635907,0.0814903671666314,0.997586837038555
hsa-mir-28,0.001562692260366679,0.0,3,3,129,108,0.015503875968992248,0.0,0.004216856821369837,0.0,0.9984373077396334
hsa-let-7e,0.045866961510260144,0.03629281537176274,4,4,65,64,0.2857142857142857,0.23809523809523808,0.07961820887134331,0.07128487701460545,0.9904258538615026
hsa-mir-193b,0.05333059263414832,0.04818300199432411,4,4,91,80,0.4090909090909091,0.4090909090909091,0.10224758602480824,0.10113090864786105,0.9948524093601758
hsa-mir-383,0.022608906127316416,0.018116424300910674,4,4,61,58,0.2,0.21428571428571427,0.05412951817431028,0.05105641932149488,0.9955075181735943
hsa-mir-200a,0.05553853956757768,0.0623183200330088,4,4,140,116,0.3103448275862069,0.35714285714285715,0.09330951093074433,0.11545908094333857,0.9932202195345688
hsa-mir-210,0.029831925968395602,0.03576649221885114,4,4,199,151,0.1875,0.2,0.05505995298615465,0.064062343284027,0.9940654337495445
hsa-mir-140,0.021704293327591485,0.032981534739110495,4,4,160,134,0.2,0.3,0.049829950927580934,0.07342135462202652,0.988722758588481
hsa-mir-1307,0.034267040149393094,0.030908289241622575,4,4,35,37,0.5,0.5,0.11401886912928566,0.11411303588978378,0.9966412490922295
hsa-mir-141,0.04999153659807217,0.04856272319750297,4,4,152,131,0.29411764705882354,0.375,0.08551761622392158,0.09559150466947412,0.9985711865994308
hsa-mir-205,0.04290510763629043,0.04277354651686203,4,4,164,139,0.2222222222222222,0.25,0.06879936478492574,0.07372612242173125,0.9998684388805716
hsa-mir-137,0.0324057182878095,0.03352618643100045,4,4,131,112,0.19444444444444445,0.20689655172413793,0.05637535263327883,0.05957145038513358,0.998879531856809
hsa-mir-214,0.029899499761074352,0.03275900323307169,4,4,191,163,0.3448275862068966,0.36666666666666664,0.08210108256871053,0.08382979024179553,0.9971404965280026
hsa-mir-429,0.048278987128917004,0.0433877887454752,4,4,99,84,0.26666666666666666,0.25925925925925924,0.08117458259972109,0.07788656109889862,0.9951088016165582
hsa-mir-379,0.007751937984496124,0.007716049382716049,4,4,48,40,0.13953488372093023,0.08333333333333333,0.0319620591133152,0.022309926380865677,0.99996411139822
hsa-mir-15a,0.025075967127507582,0.02269216205000519,4,4,156,133,0.24,0.2,0.05942282345457858,0.047911069413321954,0.9976161949224976
hsa-mir-342,0.02606253170739197,0.022236740224545103,4,4,96,86,0.14285714285714285,0.14285714285714285,0.044159110353141705,0.04356863677594043,0.9961742085171531
hsa-let-7d,0.014129102739357711,0.009809350818122748,4,4,94,84,0.13636363636363635,0.13636363636363635,0.035112290231094384,0.031401028636717475,0.995680248078765
hsa-mir-145,0.036158963585434176,0.028118211712027375,4,4,281,224,0.375,0.35,0.08782031241232462,0.08073873378995565,0.9919592481265932
hsa-mir-372,0.03378946179812675,0.024260665804783452,4,4,46,44,0.16666666666666666,0.14285714285714285,0.052819292068599706,0.04480028933220615,0.9904712040066567
hsa-let-7c,0.012465022170562659,0.015405532114392873,4,4,98,87,0.1,0.16,0.03025086458712387,0.039676601420749906,0.9970594900561698
hsa-mir-654,0.004000516195638147,0.003003003003003003,4,4,43,39,0.047619047619047616,0.05405405405405406,0.011959151207333173,0.012381698575428412,0.9990024868073648
hsa-mir-1246,0.0179732868757259,0.022187382415652827,3,3,85,71,0.125,0.21428571428571427,0.03762571033938858,0.055111187063790784,0.9957859044600731
hsa-mir-10b,0.05135915793357952,0.05129709546241568,4,4,106,98,0.3,0.3333333333333333,0.08843422369851218,0.10120905351819201,0.9999379375288362
hsa-let-7b,0.03330295297874489,0.02916474638288364,4,4,118,105,0.16666666666666666,0.18181818181818182,0.055792963084127116,0.05669895450501885,0.9958617934041387
hsa-mir-10a,0.05982234418914666,0.06820149712306575,4,4,128,108,0.47368421052631576,0.5,0.11699742797786641,0.13720278375450284,0.9916208470660809
hsa-mir-29c,0.033655974165269706,0.03393266902038832,4,4,156,141,0.16666666666666666,0.23076923076923078,0.05466067076277883,0.06501017387921065,0.9997233051448814
hsa-mir-561,0.0,0.0,4,4,12,14,0.0,0.0,0.0,0.0,1.0
hsa-mir-874,0.008333333333333333,0.002898550724637681,3,3,50,48,0.125,0.043478260869565216,0.03118047822311618,0.01084538372977954,0.9945652173913043
hsa-mir-494,0.032247754145653514,0.052324983924913054,4,4,98,91,0.18181818181818182,0.3,0.0552810172636206,0.1028881416898925,0.9799227702207405
